"Name","Age","id","Total Sales","Total Quantity","Total Profit","Category","Products"
"Ann Blume",34,"AB-10600","1515.862","38","-274.9604","Furniture,Office Supplies,Technology","Adtran 1202752G1,Cardinal EasyOpen D-Ring Binders,Case Logic 2.4GHz Wireless Keyboard,Dana Swing-Arm Lamps,DYMO CardScan Personal V9 Business Card Scanner,GBC White Gloss Covers  Plain Front,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,Smead Alpha-Z Color-Coded Second Alphabetical Labels and Starter Set"
"Alyssa Crouse",69,"AC-10420","925.800","17","-62.1342","Furniture,Office Supplies","Fellowes Bankers Box Stor/Drawer Steel Plus,Hon 5100 Series Wood Tables,Recycled Interoffice Envelopes with String and Button Closure  10 x 13,Tuff Stuff Recycled Round Ring Binders,Wilson Jones Elliptical Ring 3 1/2 Capacity Binders  800 sheets"
"Amy Cox",46,"AC-10450","5527.846","43","1366.0098","Office Supplies,Technology","Acco Suede Grain Vinyl Round Ring Binder,Avery Address/Shipping Labels for Typewriters  4 x 2,Belkin Standard 104 key USB Keyboard,GBC DocuBind TL300 Electric Binding System,Great White Multi-Use Recycled Paper (20Lb. and 84 Bright),Ibico Hi-Tech Manual Binding System,Martin Yale Chadless Opener Electric Letter Opener,Plantronics HL10 Handset Lifter,Storex Dura Pro Binders"
"Ann Chong",61,"AC-10615","2537.686","59","298.8273","Furniture,Office Supplies,Technology","ACCOHIDE 3-Ring Binder  Blue  1,Alliance Rubber Bands,Avery 518,Avery Hidden Tab Dividers for Binding Systems,BIC Brite Liner Grip Highlighters,Bush Advantage Collection Racetrack Conference Table,Cisco SPA508G,DAX Cubicle Frames - 8x10,Eldon Delta Triangular Chair Mat  52 x 58  Clear,Fellowes Basic Home/Office Series Surge Protectors,Global Commerce Series High-Back Swivel/Tilt Chairs,Gould Plastics 18-Pocket Panel Bin  34w x 5-1/4d x 20-1/2h,invisibleSHIELD by ZAGG Smudge-Free Screen Protector,Iris Project Case,Newell 324,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,WD My Passport Ultra 2TB Portable External Hard Drive,Xerox 1962"
"Anna Chung",30,"AC-10660","657.316","16","-28.7004","Furniture,Office Supplies,Technology","Fellowes Officeware Wire Shelving,Global Italian Leather Office Chair,i.Sound Portable Power - 8000 mAh,Ooma Telo VoIP Home Phone System,Xerox 1895,Xerox 1897"
"Alan Dominguez",52,"AD-10180","6106.880","40","1869.9294","Furniture,Office Supplies,Technology","1/4 Fold Party Design Invitations & White Envelopes  24 8-1/2 X 11 Cards  25 Env./Pack,Advantus Rolling Storage Box,Canon Image Class D660 Copier,Colorific Watercolor Pencils,Eldon Expressions Punched Metal & Wood Desk Accessories  Pewter & Cherry,Global Comet Stacking Armless Chair,Global Deluxe High-Back Managers Chair,Great White Multi-Use Recycled Paper (20Lb. and 84 Bright),KeyTronic 6101 Series - Keyboard - Black,Tennsco Single-Tier Lockers,Xerox 1919,Xerox 214"
"Art Ferguson",63,"AF-10870","2052.908","51","317.9712","Furniture,Office Supplies,Technology","Acco Data Flex Cable Posts For Top & Bottom Load Binders  6 Capacity,Ampad #10 Peel & Seel Holiday Envelopes,AT&T 841000 Phone,Bevis 36 x 72 Conference Tables,Commercial WindTunnel Clean Air Upright Vacuum  Replacement Belts  Filtration Bags,Digium D40 VoIP phone,Eureka Sanitaire  Commercial Upright,Insertable Tab Post Binder Dividers,Logitech Desktop MK120 Mouse and keyboard Combo,Office Star Flex Back Scooter Chair with White Frame,Recycled Interoffice Envelopes with String and Button Closure  10 x 13,Recycled Pressboard Report Cover with Reinforced Top Hinge,Safco Industrial Wire Shelving System,SanDisk Cruzer 32 GB USB Flash Drive,Staple remover,Xerox 194"
"Art Foster",40,"AF-10885","861.565","37","-163.1175","Furniture,Office Supplies,Technology","Acco Perma 4000 Stacking Storage Drawers,Bestar Classic Bookcase,DIXON Ticonderoga Erasable Checking Pencils,Global Deluxe Office Fabric Chairs,I Needs 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,Premier Elliptical Ring Binder  Black,Staple remover"
"Alejandro Grove",18,"AG-10270","2582.898","58","732.7399","Furniture,Office Supplies,Technology","Adams Telephone Message Book W/Dividers/Space For Phone Numbers  5 1/4X8 1/2  300/Messages,Avery 49,BlueLounge Milo Smartphone Stand  White/Metallic,Case Logic 2.4GHz Wireless Keyboard,Eldon Expressions Punched Metal & Wood Desk Accessories  Black & Cherry,Electrix Architects Clamp-On Swing Arm Lamp  Black,Elite 5 Scissors,Fellowes Mobile File Cart  Black,Fellowes Super Stor/Drawer,GBC Standard Plastic Binding Systems Combs,Harmony Air Purifier,Mediabridge Sport Armband iPhone 5s,Rogers Jumbo File  Granite,Things To Do Today Pad"
"Aleksandra Gannaway",68,"AG-10300","367.548","16","59.2884","Furniture,Office Supplies","Acco Pressboard Covers with Storage Hooks  14 7/8 x 11  Executive Red,Bevis Steel Folding Chairs,Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags,OSullivan 5-Shelf Heavy-Duty Bookcases,Premium Writing Pencils  Soft  #2 by Central Association for the Blind"
"Alex Grayson",51,"AG-10330","660.972","47","-5.1371","Furniture,Office Supplies,Technology","Cardinal HOLDit! Binder Insert Strips Extra Strips,Jackery Bar Premium Fast-charging Portable Charger,Lesro Round Back Collection Coffee Table  End Table,Newell 310,Sony Micro Vault Click 4 GB USB 2.0 Flash Drive,Tyvek  Top-Opening Peel & Seel Envelopes  Plain White,Xerox 1887,Xerox 1931,Xerox 225"
"Allen Goldenen",47,"AG-10390","200.945","33","69.2784","Furniture,Office Supplies","Acco 3-Hole Punch,Avery 514,Avery Recycled Flexi-View Covers for Binding Systems,C-Line Magnetic Cubicle Keepers  Clear Polypropylene,GBC Durable Plastic Covers,Newell 343,Southworth 25% Cotton Granite Paper & Envelopes,Xerox 232"
"Andrew Gjertsen",24,"AG-10495","2356.855","93","295.6668","Furniture,Office Supplies,Technology","Adams Write n Stick Phone Message Book  11 X 5 1/4  200 Messages,Advantus 10-Drawer Portable Organizer  Chrome Metal Frame  Smoke Drawers,Advantus Employee of the Month Certificate Frame  11 x 13-1/2,Avery 489,Avery Non-Stick Binders,DAX Wood Document Frame,Eldon Simplefile Box Office,Fellowes Super Stor/Drawer Files,Fellowes Twister Kit  Gray/Clear  3/pkg,Holmes Replacement Filter for HEPA Air Cleaner  Very Large Room  HEPA Filter,KI Conference Tables,Newell 344,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,Plantronics MX500i Earset,Post-it “Important Message” Note Pad  Neon Colors  50 Sheets/Pad,Premier Elliptical Ring Binder  Black,Smead Alpha-Z Color-Coded Name Labels First Letter Starter Set,Xerox 1951,Xerox 1963,Xerox 1999,Xerox 2"
"Andy Gerbode",69,"AG-10525","1455.038","33","-152.7613","Furniture,Office Supplies,Technology","Acco Pressboard Covers with Storage Hooks  9 1/2 x 11  Executive Red,Assorted Color Push Pins,AT&T 1070 Corded Phone,Bretford CR8500 Series Meeting Room Furniture,Epson TM-T88V Direct Thermal Printer - Monochrome - Desktop,KeyTronic E03601U1 - Keyboard - Beige,Mobile Personal File Cube,SlimView Poly Binder  3/8,Xerox 21"
"Anna Gayman",69,"AG-10675","3489.0396","54","-246.4257","Furniture,Office Supplies,Technology","Avery Durable Poly Binders,Chromcraft Round Conference Tables,Contico 72H Heavy-Duty Storage System,Easy-staple paper,Electrix Fluorescent Magnifier Lamps & Weighted Base,Fellowes Desktop Hanging File Manager,Holmes HEPA Air Purifier,Newell 322,Riverside Palais Royal Lawyers Bookcase  Royale Cherry Finish,Rosewill 107 Normal Keys USB Wired Standard Keyboard,Samsung Replacement EH64AVFWE Premium Headset,Sony 64GB Class 10 Micro SDHC R40 Memory Card,Super Decoflex Portable Personal File,Xerox 1882,Xerox 198"
"Anthony Garverick",40,"AG-10765","170.584","20","-8.4310","Office Supplies","Acco Pressboard Covers with Storage Hooks  14 7/8 x 11  Light Blue,Avery Poly Binder Pockets,Catalog Binders with Expanding Posts,GBC Twin Loop Wire Binding Elements  9/16 Spine  Black,Vinyl Sectional Post Binders"
"Arthur Gainer",56,"AG-10900","4510.797","92","343.6824","Furniture,Office Supplies,Technology","Acme Forged Steel Scissors with Black Enamel Handles,Avery 474,Avery 492,Avery 497,Avery 519,Belkin F9G930V10-GRY 9 Outlet Surge,Bush Somerset Collection Bookcase,Bush Westfield Collection Bookcases  Dark Cherry Finish,DXL Angle-View Binders with Locking Rings  Black,Eldon Advantage Chair Mats for Low to Medium Pile Carpets,Eldon Advantage Foldable Chair Mats for Low Pile Carpets,Global Value Steno Chair  Gray,Hon GuestStacker Chair,Microsoft Natural Keyboard Elite,NETGEAR AC1750 Dual Band Gigabit Smart WiFi Router,Newell 324,Sauder Camden County Barrister Bookcase  Planked Cherry Finish,Sauder Camden County Collection Libraries  Planked Cherry Finish,Staple envelope,Steel Personal Filing/Posting Tote,Wilson Jones Custom Binder Spines & Labels"
"Aaron Hawkins",60,"AH-10030","1744.700","54","365.2152","Furniture,Office Supplies,Technology","ACCOHIDE 3-Ring Binder  Blue  1,Avery 51,Avery Fluorescent Highlighter Four-Color Set,EcoTones Memo Sheets,Eldon Image Series Desk Accessories  Ebony,Fellowes Super Stor/Drawer Files,GBC VeloBind Cover Sets,Geemarc AmpliPOWER60,Iceberg Nesting Folding Chair  19w x 6d x 43h,Staple envelope,Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc  10/Pack"
"Adam Hart",21,"AH-10075","3250.337","75","281.1890","Furniture,Office Supplies,Technology","Ampad Phone Message Book  Recycled  400 Message Capacity  5 ¾” x 11”,Avery Metallic Poly Binders,Compact Automatic Electric Letter Opener,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,Eldon 400 Class Desk Accessories  Black Carbon,GBC DocuBind 300 Electric Binding Machine,Hoover Replacement Belt for Commercial Guardsman Heavy-Duty Upright Vacuum,Howard Miller 12 Round Wall Clock,KI Adjustable-Height Table,Newell 347,Office Impressions End Table  20-1/2H x 24W x 20D,Office Star - Mesh Screen back chair with Vinyl seat,OIC #2 Pencils  Medium Soft,OIC Binder Clips,Permanent Self-Adhesive File Folder Labels for Typewriters by Universal,Premier Electric Letter Opener,WD My Passport Ultra 1TB Portable External Hard Drive,Wirebound Message Book  4 per Page,Xerox 1949,Xerox 214"
"Adrian Hane",27,"AH-10120","1735.514","65","-2.3146","Furniture,Office Supplies,Technology","Avery White Multi-Purpose Labels,Black Print Carbonless 8 1/2 x 8 1/4 Rapid Memo Book,GBC Prestige Therm-A-Bind Covers,Iceberg OfficeWorks 42 Round Tables,Kingston Digital DataTraveler 16GB USB 2.0,Logitech Desktop MK120 Mouse and keyboard Combo,Macally Suction Cup Mount,Newell 312,Newell 350,Office Star - Ergonomically Designed Knee Chair,Sony Micro Vault Click 8 GB USB 2.0 Flash Drive,Vinyl Sectional Post Binders,White Dual Perf Computer Printout Paper  2700 Sheets  1 Part  Heavyweight  20 lbs.  14 7/8 x 11,Wilson Jones Four-Pocket Poly Binders,Xerox 1891,Xerox 1942"
"Alan Haines",67,"AH-10195","1587.452","28","-378.5509","Furniture,Office Supplies","36X48 HARDFLOOR CHAIRMAT,Acco 7-Outlet Masterpiece Power Center  Wihtout Fax/Phone Line Protection,Acco Translucent Poly Ring Binders,Avery Recycled Flexi-View Covers for Binding Systems,DXL Angle-View Binders with Locking Rings by Samsill,GBC VeloBinder Electric Binding Machine,Premier Automatic Letter Opener,Situations Contoured Folding Chairs  4/Set"
"Alan Hwang",58,"AH-10210","4805.344","53","1308.5546","Office Supplies,Technology","Avery Durable Slant Ring Binders With Label Holder,Digium D40 VoIP phone,GBC DocuBind 300 Electric Binding Machine,Green Canvas Binder for 8-1/2 x 14 Sheets,Microsoft Sculpt Comfort Mouse,Newell 323,Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,Panasonic KX TS208W Corded phone,Pressboard Data Binders by Wilson Jones,Speediset Carbonless Redi-Letter 7 x 8 1/2,Staples,Trav-L-File Heavy-Duty Shuttle II  Black,Wilson SignalBoost 841262 DB PRO Amplifier Kit"
"Amy Hunt",24,"AH-10465","2495.3916","35","-196.1201","Furniture,Office Supplies,Technology","Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles  3 7/8 Cut  8L,Avery 499,Enermax Acrylux Wireless Keyboard,Google Nexus 5,Hon 61000 Series Interactive Training Tables,Newell 317,OSullivan Living Dimensions 5-Shelf Bookcases,X-Rack File for Hanging Folders"
"Angele Hood",34,"AH-10585","738.504","17","83.963","Furniture,Office Supplies,Technology","Global Comet Stacking Armless Chair,SANFORD Major Accent Highlighters,Tenex Chairmats For Use With Carpeted Floors,Vtech CS6719,Xerox 1921"
"Anna Haberlin",39,"AH-10690","7888.294","102","1298.0166","Furniture,Office Supplies,Technology","Avery 473,Avery Self-Adhesive Photo Pockets for Polaroid Photos,Easy-staple paper,Eldon Expressions Wood Desk Accessories  Oak,Fellowes Presentation Covers for Comb Binding Machines,Global Push Button Managers Chair  Indigo,Hon Rectangular Conference Tables,Laminate Occasional Tables,Luxo Adjustable Task Clamp Lamp,Magna Visual Magnetic Picture Hangers,Newell 317,Office Star - Contemporary Task Swivel chair with Loop Arms  Charcoal,Perma STOR-ALL Hanging File Box  13 1/8W x 12 1/4D x 10 1/2H,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,Polycom SoundPoint IP 450 VoIP phone,Samsung HM1900 Bluetooth Headset,ShoreTel ShorePhone IP 230 VoIP phone,SlimView Poly Binder  3/8,Staple holder,Stiletto Hand Letter Openers,VTech DS6151,Wausau Papers Astrobrights Colored Envelopes,Wilson Jones Leather-Like Binders with DublLock Round Rings"
"Arianne Irving",35,"AI-10855","4375.786","72","867.7271","Furniture,Office Supplies,Technology","Alphabetical Labels for Top Tab Filing,Belkin F9S820V06 8 Outlet Surge,Easy-staple paper,Embossed Ink Jet Note Cards,Hon Valutask Swivel Chairs,Howard Miller 11-1/2 Diameter Ridgewood Wall Clock,HTC One,Leather Task Chair  Black,LF Elite 3D Dazzle Designer Hard Case Cover  Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite,Newell 338,Peel & Stick Add-On Corner Pockets,Samsung Galaxy Mega 6.3,Standard Rollaway File with Lock,Strathmore #10 Envelopes  Ultimate White,Unpadded Memo Slips,Xerox 1923,Xerox 1933,Xerox 223"
"Anthony Jacobs",47,"AJ-10780","4867.344","62","150.7130","Furniture,Office Supplies,Technology","ACCOHIDE Binder by Acco,Avery 482,Avery 505,Belkin F8E887 USB Wired Ergonomic Keyboard,Eberhard Faber 3 1/2 Golf Pencils,Fellowes Strictly Business Drawer File  Letter/Legal Size,Green Bar Computer Printout Paper,Hon 94000 Series Round Tables,Hoover Upright Vacuum With Dirt Cup,Howard Miller 11-1/2 Diameter Ridgewood Wall Clock,Office Star - Contemporary Task Swivel chair with Loop Arms  Charcoal,OIC #2 Pencils  Medium Soft,Prang Colored Pencils,Wirebound Message Book  4 per Page,Xerox 1906"
"Anthony Johnson",27,"AJ-10795","4501.391","88","1158.7064","Furniture,Office Supplies,Technology","Atlantic Metals Mobile 4-Shelf Bookcases  Custom Colors,Avery 477,Avery Hanging File Binders,Contract Clock  14  Brown,DYMO CardScan Personal V9 Business Card Scanner,Electrix Halogen Magnifier Lamp,Executive Impressions 10 Spectator Wall Clock,Hon Olson Stacker Chairs,Imation 30456 USB Flash Drive 8GB,Logitech B530 USB Headset - headset - Full size  Binaural,Logitech MX Performance Wireless Mouse,Mophie Juice Pack Helium for iPhone,Newell 337,Peel & Seel Recycled Catalog Envelopes  Brown,Rogers Jumbo File  Granite,Round Ring Binders,Stacking Trays by OIC,Staples,Sterilite Show Offs Storage Containers,Xerox 1981,Xerox 221"
"Ashley Jarboe",62,"AJ-10945","1839.240","40","521.1352","Furniture,Office Supplies,Technology","Avery 491,Avery Hi-Liter Smear-Safe Highlighters,Catalog Binders with Expanding Posts,Holmes Visible Mist Ultrasonic Humidifier with 2.3-Gallon Output per Day  Replacement Filter,iKross Bluetooth Portable Keyboard + Cell Phone Stand Holder + Brush for Apple iPhone 5S 5C 5  4S 4,Micro Innovations USB RF Wireless Keyboard with Mouse,Novimex Swivel Fabric Task Chair,Polycom CX300 Desktop Phone USB VoIP phone,Tripp Lite Isotel 8 Ultra 8 Outlet Metal Surge,Zebra Zazzle Fluorescent Highlighters"
"Astrea Jones",30,"AJ-10960","629.248","22","60.4265","Office Supplies","Cardinal HOLDit! Binder Insert Strips Extra Strips,Colored Envelopes,Economy #2 Pencils,Fellowes Officeware Wire Shelving,Kensington 6 Outlet SmartSocket Surge Protector"
"Alice McCarthy",45,"AM-10360","814.012","48","194.9878","Furniture,Office Supplies,Technology","3-ring staple pack,Adams Phone Message Book  Professional  400 Message Capacity  5 3/6” x 11”,Bush Westfield Collection Bookcases  Medium Cherry Finish,Fellowes Advanced Computer Series Surge Protectors,GBC VeloBinder Strips,HP Office Recycled Paper (20Lb. and 87 Bright),Logitech G600 MMO Gaming Mouse,Personal Filing Tote with Lid  Black/Gray,Prang Dustless Chalk Sticks,Satellite Sectional Post Binders,Southworth 25% Cotton Antique Laid Paper & Envelopes,Wirebound Message Book  4 per Page"
"Anne McFarland",28,"AM-10705","5664.022","81","1085.7326","Furniture,Office Supplies,Technology","#10- 4 1/8 x 9 1/2 Recycled Envelopes,Berol Giant Pencil Sharpener,Bush Westfield Collection Bookcases  Fully Assembled,Cardinal Holdit Business Card Pockets,Chromcraft Bull-Nose Wood 48 x 96 Rectangular Conference Tables,Chromcraft Bull-Nose Wood Round Conference Table Top  Wood Base,Cisco SPA 502G IP Phone,Eldon Expressions Wood Desk Accessories  Oak,Eldon Wave Desk Accessories,GBC Recycled VeloBinder Covers,Heavy-Duty E-Z-D Binders,Hon Pagoda Stacking Chairs,Lumber Crayons,Newell 35,Nortel Networks T7316 E Nt8 B27,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,Premier Electric Letter Opener,Regeneration Desk Collection,RSVP Cards & Envelopes  Blank White  8-1/2 X 11  24 Cards/25 Envelopes/Set,Southworth Parchment Paper & Envelopes,Tennsco Double-Tier Lockers,Wilson Jones Impact Binders"
"Anthony O'Donnell",66,"AO-10810","161.28","2","12.096","Furniture","Barricks 18 x 48 Non-Folding Utility Table with Bottom Storage Shelf"
"Anne Pryor",18,"AP-10720","1638.554","85","285.7888","Furniture,Office Supplies,Technology","Acco Data Flex Cable Posts For Top & Bottom Load Binders  6 Capacity,Alliance Big Bands Rubber Bands  12/Pack,Avaya 5410 Digital phone,Avery 52,Avery Arch Ring Binders,Avery Durable Slant Ring Binders With Label Holder,Blackstonian Pencils,Bush Westfield Collection Bookcases  Dark Cherry Finish,Cardinal HOLDit! Binder Insert Strips Extra Strips,Cisco SPA301,GBC Personal VeloBind Strips,Hon 61000 Series Interactive Training Tables,Ibico Laser Imprintable Binding System Covers,Nu-Dell Oak Frame,PowerGen Dual USB Car Charger,SanDisk Cruzer 8 GB USB Flash Drive,Seth Thomas 14 Day/Date Wall Clock,Xerox 1949,Xerox 1977"
"Arthur Prichep",61,"AP-10915","3323.556","102","579.3113","Furniture,Office Supplies,Technology","#10- 4 1/8 x 9 1/2 Security-Tint Envelopes,50 Colored Long Pencils,Acme Titanium Bonded Scissors,Advantus Map Pennant Flags and Round Head Tacks,Advantus Plastic Paper Clips,Atlantic Metals Mobile 5-Shelf Bookcases  Custom Colors,Belkin F8E887 USB Wired Ergonomic Keyboard,Boston 16750 Black Compact Battery Pencil Sharpener,Boston Home & Office Model 2000 Electric Pencil Sharpeners,Boston School Pro Electric Pencil Sharpener  1670,Cisco SPA525G2 IP Phone - Wireless,Economy #2 Pencils,Fellowes Mobile File Cart  Black,GBC DocuBind P50 Personal Binding Machine,Global Adaptabilities Conference Tables,Harmony HEPA Quiet Air Purifiers,Holmes HEPA Air Purifier,Hon Olson Stacker Stools,Kingston Digital DataTraveler 16GB USB 2.0,Luxo Professional Combination Clamp-On Lamps,Magna Visual Magnetic Picture Hangers,Newell 341,Newell Chalk Holder,Regeneration Desk Collection,Star Micronics TSP800 TSP847IIU Receipt Printer,Stockwell Push Pins,Xerox 1931,Xerox 1976,Xerox 1988,Xerox 223"
"Alex Russell",38,"AR-10345","1055.694","18","-221.0544","Furniture,Office Supplies,Technology","ClearSounds CSC500 Amplified Spirit Phone Corded phone,Eberhard Faber 3 1/2 Golf Pencils,Global Commerce Series Low-Back Swivel/Tilt Chairs,Hon 5100 Series Wood Tables,Memorex Froggy Flash Drive 8 GB"
"Allen Rosenblatt",66,"AR-10405","2236.128","29","-98.7646","Furniture,Office Supplies,Technology","Bevis Round Conference Room Tables and Bases,Global Deluxe Stacking Chair  Gray,Microsoft Sculpt Comfort Mouse,Office Impressions End Table  20-1/2H x 24W x 20D,Sony 16GB Class 10 Micro SDHC R40 Memory Card,Square Ring Data Binders  Rigid 75 Pt. Covers  11 x 14-7/8,Xerox 1943"
"Andrew Roberts",58,"AR-10510","264.864","33","43.6695","Office Supplies,Technology","Angle-D Ring Binders,Belkin 6 Outlet Metallic Surge Strip,Belkin F8E887 USB Wired Ergonomic Keyboard,Motorola L804,Newell 317,Peel & Stick Add-On Corner Pockets,Xerox 226"
