"name","total_sale","running_total"
"Cindy Schnelling","1077","435908"
"Cindy Stewart","5690","441598"
"Claire Gute","1149","442747"
"Claudia Bergmann","4246","446993"
"Clay Cheatham","114","447107"
"Clay Ludtke","10881","457988"
"Clay Rozendal","2149","460137"
"Clytie Kelty","2373","462510"
"Corey-Lock","1300","463810"
"Corey Catlett","2541","466351"
"Corey Roper","476","466827"
"Corinna Mitchell","6340","473167"
"Craig Carreira","2270","475437"
"Craig Carroll","2854","478291"
"Craig Leslie","2354","480645"
"Craig Molinari","3984","484629"
"Craig Reiter","1601","486230"
"Craig Yedwab","2900","489130"
"Cyma Kinney","1582","490712"
"Cynthia Arntzen","3042","493754"
"Cynthia Delaney","1861","495615"
"Cynthia Voltz","2370","497985"
"Cyra Reiten","1398","499383"
"Damala Kotsonis","3256","502639"
"Dan Campbell","3336","505975"
"Dan Lawera","1503","507478"
"Dan Reichenbach","6528","514006"
"Dana Kaydos","4282","518288"
"Daniel Byrd","2172","520460"
"Daniel Lacy","3272","523732"
"Daniel Raglin","8351","532083"
"Dario Medina","1322","533405"
"Darren Budd","2839","536244"
"Darren Koutras","1687","537931"
"Darren Powers","1051","538982"
"Darrin Martin","6345","545327"
"Darrin Sayre","1762","547089"
"Darrin Van Huff","1119","548208"
"Dave Brooks","4532","552740"
"Dave Hallsten","4933","557673"
"Dave Kipp","2651","560324"
"Dave Poirier","2215","562539"
"David Bremer","2973","565512"
"David Flashing","2391","567903"
"David Kendrick","798","568701"
"David Philippe","1059","569760"
"David Smith","2882","572642"
"David Wiener","1081","573723"
"Dean Braden","2333","576056"
"Dean Katz","4802","580858"
"Dean percer","7199","588057"
"Deanra Eno","2551","590608"
"Deborah Brumfield","4656","595264"
"Debra Catini","1175","596439"
"Deirdre Greer","3196","599635"
"Delfina Latchford","1458","601093"
"Denise Leinenbach","585","601678"
"Denise Monton","4074","605752"
"Dennis Bolton","1081","606833"
"Dennis Kane","3318","610151"
"Dennis Pardue","5481","615632"
"Denny Blanton","1712","617344"
"Denny Joy","2013","619357"
"Denny Ordway","1300","620657"
"Dianna Arnett","157","620814"
"Dianna Vittorini","3342","624156"
"Dianna Wilson","5272","629428"
"Dionis Lloyd","3539","632967"
"Don Jones","2502","635469"
"Don Miller","1377","636846"
"Don Weiss","344","637190"
"Dorothy Badders","3909","641099"
"Dorothy Dickinson","270","641369"
"Dorothy Wardle","1205","642574"
"Dorris liebe","756","643330"
"Doug Bickford","1989","645319"
"Doug Jacobs","3356","648675"
"Doug O'Connell","1267","649942"
"Duane Benoit","1155","651097"
"Duane Huffman","1043","652140"
"Duane Noonan","2140","654280"
"Ed Braxton","3645","657925"
"Ed Jacobs","2162","660087"
"Ed Ludwig","124","660211"
"Edward Becker","3236","663447"
"Edward Hooks","10311","673758"
"Edward Nazzal","2199","675957"
"Eileen Kiefer","1303","677260"
"Eleni McCrary","2567","679827"
"Elizabeth Moffitt","2340","682167"
"Ellis Ballard","4358","686525"
"Elpida Rittenbach","1246","687771"
"Emily Burns","2767","690538"
"Emily Ducich","3485","694023"
"Emily Grady","1832","695855"
"Emily Phan","5478","701333"
"Eric Barreto","945","702278"
"Eric Hoffmann","684","702962"
"Eric Murdock","934","703896"
"Erica Bern","1643","705539"
"Erica Hackney","826","706365"
"Erica Hernandez","1220","707585"
"Erica Smith","3510","711095"
"Erin Ashbrook","2847","713942"
"Erin Creighton","462","714404"
"Erin Mull","229","714633"
"Erin Smith","4658","719291"
"Eudokia Martin","1041","720332"
"Eugene Barchas","3071","723403"
"Eugene Hildebrand","3083","726486"
"Eugene Moren","4588","731074"
"Eva Jacobs","2657","733731"
"Evan Bailliet","1186","734917"
"Evan Henry","924","735841"
"Evan Minnotte","367","736208"
"Filia McAdams","2457","738665"
"Frank Atkinson","2984","741649"
"Frank Carlisle","3419","745068"
"Frank Gastineau","1383","746451"
"Frank Hawley","4256","750707"
"Frank Merwin","3736","754443"
"Frank Olsen","2678","757121"
"Frank Preis","4047","761168"
"Fred Chung","3889","765057"
"Fred Harton","2271","767328"
"Fred Hopkins","6987","774315"
"Fred McMath","2523","776838"
"Fred Wasserman","80","776918"
"Gary Hansen","2819","779737"
"Gary Hwang","4173","783910"
"Gary McGarr","3583","787493"
"Gary Mitchum","3079","790572"
"Gary Zandusky","4355","794927"
"Gene Hale","1361","796288"
"Gene McClure","1256","797544"
"George Ashbrook","3920","801464"
"George Bell","1568","803032"
"George Zrebassa","2455","805487"
"Georgia Rosenberg","1284","806771"
"Giulietta Baptist","4716","811487"
"Giulietta Dortch","1888","813375"
"Giulietta Weimer","2189","815564"
"Grace Kelly","6497","822061"
"Grant Thornton","9351","831412"
"Greg Guthrie","2224","833636"
"Greg Hansen","147","833783"
"Greg Matthias","3164","836947"
"Greg Maxwell","6050","842997"
"Greg Tran","11820","854817"
"Guy Armstrong","1398","856215"
"Guy Phonely","237","856452"
"Guy Thornton","226","856678"
"Hallie Redmond","1299","857977"
"Harold Dahlen","251","858228"
"Harold Engle","884","859112"
"Harold Pawlan","1990","861102"
"Harold Ryan","5249","866351"
"Harry Greene","786","867137"
"Harry Marie","8237","875374"
"Heather Jas","358","875732"
"Heather Kirkland","4878","880610"
"Helen Abelman","2163","882773"
"Helen Andreada","2584","885357"
"Helen Wasserman","9300","894657"
"Henia Zydlo","887","895544"
"Henry Goldwyn","3248","898792"
"Henry MacAllister","736","899528"
"Herbert Flentye","2533","902061"
"Hilary Holden","219","902280"
"Hunter Glantz","3690","905970"
"Hunter Lopez","12873","918843"
"Ionia McGrath","2873","921716"
"Irene Maddox","4930","926646"
"Ivan Gibson","745","927391"
"Ivan Liston","5041","932432"
"Jack Garza","2359","934791"
"Jack Lebron","1215","936006"
"Jack O'Briant","3255","939261"
"James Galang","6366","945627"
"James Lanier","1572","947199"
"Jamie Frazer","2280","949479"
"Jamie Kunitz","4427","953906"
"Jane Waco","7722","961628"
"Janet Lee","2204","963832"
"Janet Martin","3159","966991"
"Janet Molinari","1804","968795"
"Jas O'Carroll","1934","970729"
"Jason Fortune-","955","971684"
"Jason Gross","2241","973925"
"Jason Klamczynski","384","974309"
"Jasper Cacioppo","71","974380"
"Jay Fein","1912","976292"
"Jay Kimmel","2710","979002"
"Jenna Caffey","1058","980060"
"Jennifer Braxton","1792","981852"
"Jennifer Ferguson","2371","984223"
"Jennifer Halladay","309","984532"
"Jennifer Jackson","709","985241"
"Jennifer Patt","1669","986910"
"Jeremy Ellison","1389","988299"
"Jeremy Farry","1083","989382"
"Jeremy Lonsdale","3174","992556"
"Jeremy Pistek","3636","996192"
"Jessica Myrick","1733","997925"
"Jesus Ocampo","1091","999016"
"Jill Fjeld","4198","1003214"
"Jill Matthias","304","1003518"
"Jill Stevenson","1418","1004936"
"Jim Epp","7755","1012691"
"Jim Karlsson","3760","1016451"
"Jim Kriz","4760","1021211"
"Jim Mitchum","865","1022076"
"Jim Radford","1157","1023233"
"Jim Sink","1131","1024364"
"Jocasta Rupert","864","1025228"
"Joe Elijah","8698","1033926"
"Joe Kamberova","4867","1038793"
"Joel Eaton","6761","1045554"
"Joel Jenkins","195","1045749"
"John Castell","2772","1048521"
"John Dryer","2152","1050673"
"John Grady","1507","1052180"
"John Huston","529","1052709"
"John Lee","9800","1062509"
"John Lucas","2725","1065234"
"John Murray","7625","1072859"
"John Stevenson","3868","1076727"
"Jonathan Doherty","7611","1084338"
"Jonathan Howell","959","1085297"
"Joni Blumstein","901","1086198"
"Joni Sundaresam","469","1086667"
"Joni Wasserman","1244","1087911"
"Joseph Airdo","6491","1094402"
"Joseph Holt","7955","1102357"
"Joy Bell-","644","1103001"
"Joy Daniels","385","1103386"
"Joy Smith","2516","1105902"
"Julia Barnett","2518","1108420"
"Julia Dunbar","695","1109115"
"Julia West","1429","1110544"
"Juliana Krohn","3748","1114292"
"Julie Creighton","859","1115151"
"Julie Kriz","2932","1118083"
"Julie Prescott","1708","1119791"
"Justin Deggeller","8828","1128619"
"Justin Ellison","2697","1131316"
"Justin Hirsh","2256","1133572"
"Justin MacKendrick","2834","1136406"
"Justin Ritter","2202","1138608"
"Kalyca Meade","2261","1140869"
"Karen Bern","3153","1144022"
"Karen Carlisle","2121","1146143"
"Karen Daniels","8282","1154425"
"Karen Ferguson","10604","1165029"
"Karen Seio","88","1165117"
"Karl Braun","1569","1166686"
"Katharine Harms","3313","1169999"
"Katherine Ducich","1889","1171888"
"Katherine Hughes","3101","1174989"
"Katherine Murray","5620","1180609"
"Katherine Nockton","2617","1183226"
"Katrina Bavinger","909","1184135"
"Katrina Edelman","1687","1185822"
"Katrina Willman","4417","1190239"
"Kean Nguyen","2172","1192411"
"Kean Takahito","3057","1195468"
"Kean Thornton","4642","1200110"
"Keith Dawkins","8181","1208291"
"Keith Herrera","5953","1214244"
"Kelly Andreada","1520","1215764"
"Kelly Collister","3908","1219672"
"Kelly Lampkin","5016","1224688"
"Kelly Williams","449","1225137"
"Ken Black","2745","1227882"
"Ken Brennan","984","1228866"
"Ken Dana","2244","1231110"
"Ken Heidel","3919","1235029"
"Ken Lonsdale","14175","1249204"
"Khloe Miller","454","1249658"
"Kimberly Carter","1146","1250804"
"Kristen Hastings","5991","1256795"
"Kristina Nunn","2281","1259076"
"Kunst Miller","4909","1263985"
"Larry Blacks","50","1264035"
"Larry Hughes","287","1264322"
"Larry Tron","330","1264652"
"Laura Armstrong","8673","1273325"
"Laurel Beltran","4986","1278311"
"Laurel Elliston","1469","1279780"
"Laurel Workman","2238","1282018"
"Lauren Leatherbury","2741","1284759"
"Lela Donovan","5","1284764"
"Lena Cacioppo","2581","1287345"
"Lena Creighton","7663","1295008"
"Lena Hernandez","2295","1297303"
"Lena Radford","5143","1302446"
"Linda Cazamias","4493","1306939"
"Linda Southworth","2845","1309784"
"Lindsay Castell","3247","1313031"
"Lindsay Shagiari","2989","1316020"
"Lindsay Williams","3230","1319250"
"Lisa DeCherney","1962","1321212"
"Lisa Hazard","318","1321530"
"Lisa Ryan","1879","1323409"
"Liz Carlisle","2095","1325504"
"Liz MacKendrick","1347","1326851"
"Liz Pelletier","757","1327608"
"Liz Preis","3653","1331261"
"Liz Thompson","2936","1334197"
"Liz Willingham","1259","1335456"
"Logan Currie","2634","1338090"
"Logan Haushalter","1740","1339830"
"Lori Olson","644","1340474"
"Luke Foster","3931","1344405"
"Luke Schmidt","1010","1345415"
"Luke Weiss","5421","1350836"
"Lycoris Saunders","369","1351205"
"Lynn Smith","1008","1352213"
"Magdelene Morse","1314","1353527"
"Marc Crier","2726","1356253"
"Marc Harrigan","2394","1358647"
"Maria Bertelson","1549","1360196"
"Maria Etezadi","10664","1370860"
"Maria Zettner","594","1371454"
"Maribeth Dona","3766","1375220"
"Maribeth Schnelling","7444","1382664"
"Maribeth Yedwab","2254","1384918"
"Marina Lichtenstein","2723","1387641"
"Maris LaWare","2922","1390563"
"Mark Cousins","4432","1394995"
"Mark Haberlin","400","1395395"
"Mark Hamilton","2456","1397851"
"Mark Packer","3206","1401057"
"Mark Van Huff","1560","1402617"
"Mary O'Rourke","922","1403539"
"Mary Zewe","2565","1406104"
"MaryBeth Skach","476","1406580"
"Mathew Reese","639","1407219"
"Matt Abelman","4299","1411518"
"Matt Collins","1304","1412822"
"Matt Collister","2426","1415248"
"Matt Connell","2258","1417506"
"Matt Hagelstein","1253","1418759"
"Matthew Clasen","795","1419554"
"Matthew Grinstein","3785","1423339"
"Maureen Fritzler","937","1424276"
"Maureen Gastineau","2350","1426626"
"Maureen Gnade","1342","1427968"
"Maurice Satty","1613","1429581"
"Max Engle","1908","1431489"
"Max Jones","6321","1437810"
"Max Ludwig","2072","1439882"
"Maxwell Schwartz","3145","1443027"
"Maya Herman","2204","1445231"
"Meg O'Connel","1687","1446918"
"Meg Tillman","2890","1449808"
"Melanie Seite","370","1450178"
"Michael Chen","3806","1453984"
"Michael Dominguez","1205","1455189"
"Michael Grace","1243","1456432"
"Michael Granlund","776","1457208"
"Michael Kennedy","2302","1459510"
"Michael Moore","3794","1463304"
"Michael Nguyen","2478","1465782"
"Michael Oakman","154","1465936"
"Michael Paige","3984","1469920"
"Michael Stewart","855","1470775"
"Michelle Arnett","2453","1473228"
"Michelle Ellison","1257","1474485"
"Michelle Huthwaite","2985","1477470"
"Michelle Lonsdale","742","1478212"
"Michelle Moray","2750","1480962"
"Michelle Tran","1319","1482281"
"Mick Brown","1428","1483709"
"Mick Crebagga","2219","1485928"
"Mick Hernandez","5503","1491431"
"Mike Caudle","1582","1493013"
"Mike Gockenbach","3062","1496075"
"Mike Kennedy","1032","1497107"
"Mike Pelletier","5088","1502195"
"Mike Vittorini","1735","1503930"
"Mitch Gastineau","17","1503947"
"Mitch Webber","5342","1509289"
"Mitch Willingham","5254","1514543"
"Monica Federle","1758","1516301"
"Muhammed Lee","162","1516463"
"Muhammed MacIntyre","775","1517238"
"Muhammed Yedwab","4153","1521391"
"Nancy Lomonaco","1418","1522809"
"Naresj Patel","5530","1528339"
"Nat Carroll","2461","1530800"
"Nat Gilpin","1870","1532670"
"Natalie DeCherney","4326","1536996"
"Natalie Fritzler","8323","1545319"
"Natalie Webber","7234","1552553"
"Nathan Cano","2219","1554772"
"Nathan Gelder","1396","1556168"
"Nathan Mautz","6459","1562627"
"Neil Ducich","2893","1565520"
"Neil Franzosisch","377","1565897"
"Neil Knudson","572","1566469"
"Neola Schneider","2576","1569045"
"Neoma Murray","2162","1571207"
"Nick Crebassa","8242","1579449"
"Nick Radford","2367","1581816"
"Nick Zandusky","2488","1584304"
"Nicole Brennan","274","1584578"
"Nicole Fjeld","2031","1586609"
"Nicole Hansen","2673","1589282"
"Noah Childs","1822","1591104"
"Noel Staavos","2965","1594069"
"Nona Balk","1973","1596042"
"Nora Paige","3908","1599950"
"Nora Pelletier","1229","1601179"
"Nora Preis","7903","1609082"
"Odella Nelson","1568","1610650"
"Olvera Toch","3819","1614469"
"Pamela Coakley","1832","1616301"
"Pamela Stobb","2181","1618482"
"Parhena Norris","1467","1619949"
"Patricia Hirasaki","730","1620679"
"Patrick Bzostek","740","1621419"
"Patrick Gardner","3087","1624506"
"Patrick Jones","1220","1625726"
"Patrick O'Brill","7474","1633200"
"Patrick O'Donnell","2493","1635693"
"Patrick Ryan","1840","1637533"
"Paul Gonzalez","1987","1639520"
"Paul Knutson","1441","1640961"
"Paul Lucas","239","1641200"
"Paul MacIntyre","1405","1642605"
"Paul Prost","7253","1649858"
"Paul Stevenson","1279","1651137"
"Paul Van Hugh","2876","1654013"
"Pauline Chand","1061","1655074"
"Pauline Johnson","1824","1656898"
"Pauline Webber","3455","1660353"
"Penelope Sewall","6844","1667197"
"Pete Armstrong","729","1667926"
"Pete Kriz","8647","1676573"
"Pete Takahito","161","1676734"
"Peter Buhler","688","1677422"
"Peter Fuller","9063","1686485"
"Peter McVee","4116","1690601"
"Philip Brown","1457","1692058"
"Philip Fox","2770","1694828"
"Philisse Overcash","4893","1699721"
"Phillina Ober","1057","1700778"
"Phillip Breyer","133","1700911"
"Phillip Flathmann","2206","1703117"
"Pierre Wener","3922","1707039"
"Quincy Jones","6108","1713147"
"Rachel Payne","955","1714102"
"Ralph Arnett","2618","1716720"
"Ralph Kennedy","1460","1718180"
"Ralph Ritter","616","1718796"
"Randy Bradley","1008","1719804"
"Randy Ferguson","3309","1723113"
"Raymond Buch","15117","1738230"
"Raymond Messe","1453","1739683"
"Resi Polking","5153","1744836"
"Ricardo Emerson","48","1744884"
"Ricardo Sperren","3221","1748105"
"Richard Bierner","2663","1750768"
"Richard Eichhorn","877","1751645"
"Rick Bensley","4715","1756360"
"Rick Duston","4273","1760633"
"Rick Hansen","3621","1764254"
"Rick Huthwaite","6979","1771233"
"Rick Reed","3302","1774535"
"Rick Wilson","7397","1781932"
"Ritsa Hightower","740","1782672"
"Rob Beeghly","529","1783201"
"Rob Dowd","2913","1786114"
"Rob Haberlin","2086","1788200"
"Rob Lucas","6235","1794435"
"Rob Williams","3280","1797715"
"Robert Barroso","221","1797936"
"Robert Dilbeck","2787","1800723"
"Robert Marley","5979","1806702"
"Robert Waldorf","3496","1810198"
"Roger Barcio","2067","1812265"
"Roger Demir","1420","1813685"
"Roland Fjeld","2341","1816026"
"Roland Murray","98","1816124"
"Roland Schwarz","4160","1820284"
"Rose O'Brian","3815","1824099"
"Ross Baird","5633","1829732"
"Ross DeVincentis","1138","1830870"
"Roy Collins","966","1831836"
"Roy Franzosisch","945","1832781"
"Roy Phan","2171","1834952"
"Roy Skaria","22","1834974"
"Ruben Ausman","3832","1838806"
"Ruben Dartt","3134","1841940"
"Russell Applegate","4794","1846734"
"Russell D'Ascenzo","971","1847705"
"Ryan Akin","1687","1849392"
"Ryan Crowe","886","1850278"
"Sally Hughsby","3407","1853685"
"Sally Knutson","883","1854568"
"Sally Matthias","244","1854812"
"Sam Craven","3363","1858175"
"Sam Zeldin","3625","1861800"
"Sample Company A","4625","1866425"
"Sandra Flanagan","764","1867189"
"Sandra Glassco","3407","1870596"
"Sanjit Chand","14142","1884738"
"Sanjit Engle","12209","1896947"
"Sanjit Jacobs","3950","1900897"
"Saphhira Shifley","1324","1902221"
"Sara Luxemburg","3053","1905274"
"Sarah Bern","1348","1906622"
"Sarah Brown","6411","1913033"
"Sarah Foster","3423","1916456"
"Sarah Jordon","1341","1917797"
"Scot Coram","4372","1922169"
"Scot Wooten","1085","1923254"
"Scott Cohen","3730","1926984"
"Scott Williamson","1967","1928951"
"Sean Braxton","8058","1937009"
"Sean Christensen","3979","1940988"
"Sean Miller","25043","1966031"
"Sean O'Donnell","2603","1968634"
"Sean Wendt","1019","1969653"
"Seth Vernon","11471","1981124"
"Shahid Collister","5993","1987117"
"Shahid Hopkins","2181","1989298"
"Shahid Shariari","3057","1992355"
"Sharelle Roach","3233","1995588"
"Shaun Chance","1875","1997463"
"Shaun Weien","2922","2000385"
"Sheri Gordon","1885","2002270"
"Shirley Daniels","6121","2008391"
"Shirley Jackson","1319","2009710"
"Shirley Schmidt","613","2010323"
"Shui Tom","433","2010756"
"Sibella Parks","1306","2012062"
"Skye Norling","1860","2013922"
"Sonia Cooley","903","2014825"
"Sonia Sunley","418","2015243"
"Speros Goranitis","3125","2018368"
"Stefania Perrino","5440","2023808"
"Stefanie Holloman","2096","2025904"
"Stephanie Phelps","1872","2027776"
"Stephanie Ulpright","2595","2030371"
"Steve Carroll","1255","2031626"
"Steve Chapman","2576","2034202"
"Steve Nguyen","3128","2037330"
"Steven Cartwright","5226","2042556"
"Steven Roelle","4346","2046902"
"Steven Ward","759","2047661"
"Stewart Carmichael","4493","2052154"
"Stewart Visinsky","4105","2056259"
"Stuart Calhoun","279","2056538"
"Stuart Van","1271","2057809"
"Sue Ann Reed","4767","2062576"
"Sung Chung","281","2062857"
"Sung Pak","4283","2067140"
"Sung Shariari","965","2068105"
"Susan Gilcrest","48","2068153"
"Susan MacKendrick","1043","2069196"
"Susan Pistek","3991","2073187"
"Susan Vittorini","1903","2075090"
"Suzanne McNair","5563","2080653"
"Sylvia Foulston","3337","2083990"
"Tamara Chand","19052","2103042"
"Tamara Dahlen","1435","2104477"
"Tamara Manning","2955","2107432"
"Tamara Willingham","5279","2112711"
"Tanja Norvell","3130","2115841"
"Ted Butterfield","1468","2117309"
"Ted Trevino","4916","2122225"
"Thais Sissman","5","2122230"
"Thea Hendricks","2423","2124653"
"Thea Hudgings","2943","2127596"
"Theone Pippenger","4454","2132050"
"Theresa Coyne","1038","2133088"
"Theresa Swint","2164","2135252"
"Thomas Boland","3589","2138841"
"Thomas Brumley","816","2139657"
"Thomas Seio","5371","2145028"
"Thomas Thornton","1427","2146455"
"Tiffany House","1022","2147477"
"Tim Brockman","1602","2149079"
"Tim Taslimi","440","2149519"
"Toby Braunhardt","2198","2151717"
"Toby Carlisle","4267","2155984"
"Toby Gnade","3058","2159042"
"Toby Ritter","676","2159718"
"Toby Swindell","975","2160693"
"Todd Boyes","834","2161527"
"Todd Sumrall","11892","2173419"
"Tom Ashbrook","14596","2188015"
"Tom Boeckenhauer","9134","2197149"
"Tom Prescott","5329","2202478"
"Tom Stivers","2054","2204532"
"Tonja Turnell","5365","2209897"
"Tony Chapman","1245","2211142"
"Tony Molinari","1095","2212237"
"Tony Sayre","2243","2214480"
"Tracy Blumstein","4737","2219217"
"Tracy Collins","743","2219960"
"Tracy Hopkins","4234","2224194"
"Tracy Poddar","1937","2226131"
"Tracy Zic","1707","2227838"
"Troy Blackwell","1388","2229226"
"Troy Staebel","2820","2232046"
"Trudy Brown","2798","2234844"
"Trudy Glocke","2075","2236919"
"Trudy Schmidt","3368","2240287"
"Valerie Dominguez","6442","2246729"
"Valerie Mitchum","2455","2249184"
"Valerie Takahito","1737","2250921"
"Vicky Freymann","848","2251769"
"Victor Preis","994","2252763"
"Victoria Brennan","2006","2254769"
"Victoria Pisteka","3361","2258130"
"Victoria Wilson","6134","2264264"
"Vivek Gonzalez","846","2265110"
"Vivek Grady","427","2265537"
"Vivek Sundaresam","1056","2266593"
"Vivian Mathis","381","2266974"
"William Brown","6160","2273134"
"Xylona Preis","2375","2275509"
"Yana Sorensen","6720","2282229"
"Yoseph Carroll","5454","2287683"
"Zuschuss Carroll","8026","2295709"
"Zuschuss Donatelli","1494","2297203"
